fighter,alias
Francisco Figueiredo,Francisco Figueredo
Montserrat Conejo,Montserrat Ruiz
TJ Dillashaw,T.J. Dillashaw
Punahele Soriano,Puna Soriano
Wu Yanan,Yanan Wu
Phil Rowe,Philip Rowe
Phil Rowe,Phillip Rowe
Ode Osbourne,Oder Osbourne
Saidyokub Kakhramonov,Saidyokub Kakharamonov
JJ Aldrich,Jj Aldrich
Serghei Spivac,Sergey Spivak
Ion Cutelaba,Ion Curelaba
JP Buys,Jp Buys
Alatengheili,Heili Alateng
Dan Hooker,Daniel Hooker
Alexander Hernandez,Alex Hernandez
Alexandr Romanov,Alexander Romanov
Loopy Godinez,Lupita Godinez
Tuco Tokkos,George Tokkos
Ian Machado Garry,Ian Garry
Patricio Pitbull,Patricio Freire
Jailton Almeida,Jailton Junior
King Green,Bobby Green
Rongzhu,Zhu Rong
Chepe Mariscal,Jose Mariscal
SuYoung Yoo,Soo Young You
Ronaldo Rodriguez,Luis Rodriguez
Tecia Pennington,Tecia Torres
Rayanne dos Santos,Rayanna Amanda
Ariane da Silva,Ariane Lipski
Yizha,Zha Yi
Xiao Long,Long Xiao
Shi Ming,Ming Shi
Bruna Brasil,Bruna Emanuele Brasil
Aoriqileng,Qileng Aori
Sangwook Kim,Kim Sang Uk
Sulangrangbo,Rangbo Sulang